epoch,avg_loss,min_loss,max_loss
1,0.1459,0.0191,0.3127
2,0.1335,0.0224,0.3212
3,0.1324,0.027,0.2913
4,0.1315,0.0287,0.2966
5,0.1313,0.0253,0.292
6,0.1307,0.0256,0.2748
7,0.1305,0.0218,0.274
8,0.1308,0.0262,0.2718
9,0.1302,0.0308,0.2762
10,0.1304,0.0264,0.2697
11,0.1301,0.0212,0.2897
12,0.1299,0.0242,0.2803
13,0.1296,0.0217,0.2706
14,0.1297,0.0244,0.2672
15,0.1294,0.0178,0.2688
16,0.1296,0.0227,0.2726
17,0.1288,0.0194,0.2762
18,0.1289,0.0309,0.284
19,0.1293,0.0198,0.2705
20,0.1292,0.0306,0.2629
21,0.1286,0.021,0.2642
22,0.129,0.0172,0.2661
23,0.1285,0.0297,0.2779
24,0.128,0.028,0.2665
25,0.1286,0.0283,0.2754
26,0.1289,0.0165,0.2747
27,0.1282,0.0266,0.2711
28,0.1281,0.0352,0.2691
29,0.1284,0.0251,0.2644
30,0.1284,0.0243,0.2644
31,0.1285,0.0295,0.2566
32,0.1283,0.0313,0.2787
33,0.1285,0.0286,0.2715
34,0.128,0.0254,0.2571
35,0.1275,0.0256,0.2613
36,0.128,0.0262,0.2714
37,0.1277,0.0265,0.2563
38,0.1277,0.0216,0.2776
39,0.1279,0.0248,0.2547
40,0.1277,0.0221,0.25
41,0.1273,0.0249,0.2633
42,0.1277,0.0102,0.2631
43,0.1277,0.0225,0.2527
44,0.1278,0.0263,0.2543
45,0.1275,0.0214,0.2632
46,0.1273,0.0278,0.2593
47,0.1276,0.0199,0.2487
48,0.1279,0.0309,0.2636
49,0.1276,0.0144,0.2525
50,0.127,0.0242,0.2546
51,0.1276,0.0219,0.2554
52,0.1273,0.0228,0.2781
53,0.1269,0.0304,0.2573
54,0.1271,0.0234,0.2626
55,0.1274,0.0199,0.2716
56,0.1275,0.0132,0.2515
57,0.1273,0.0263,0.2606
58,0.1269,0.0333,0.2768
59,0.1269,0.0217,0.2614
60,0.1277,0.0252,0.258
61,0.127,0.0206,0.2567
62,0.1265,0.0154,0.2516
63,0.1277,0.0198,0.2585
64,0.127,0.0252,0.2665
65,0.1274,0.0183,0.2578
66,0.127,0.0182,0.2598
67,0.1267,0.022,0.2545
68,0.1269,0.0261,0.2496
69,0.1273,0.0228,0.2478
70,0.1268,0.0202,0.2624
71,0.1263,0.0199,0.2463
72,0.127,0.0135,0.2499
73,0.1266,0.0226,0.2502
74,0.1265,0.0177,0.2619
75,0.1271,0.0254,0.25
76,0.1266,0.0175,0.2594
77,0.1266,0.0224,0.2568
78,0.1265,0.0214,0.242
79,0.1267,0.03,0.251
80,0.1271,0.027,0.2635
81,0.1262,0.0262,0.2418
82,0.1265,0.0263,0.2586
83,0.126,0.0231,0.2594
84,0.1261,0.0209,0.259
85,0.1265,0.0294,0.246
86,0.1259,0.0125,0.2329
87,0.1262,0.028,0.2492
88,0.1265,0.0284,0.2457
89,0.1269,0.0278,0.2826
90,0.1262,0.022,0.2499
91,0.1259,0.0223,0.2482
92,0.1255,0.0238,0.2788
93,0.1266,0.0186,0.2411
94,0.126,0.025,0.3776
95,0.126,0.0241,0.2351
96,0.1264,0.0247,0.2462
97,0.1257,0.02,0.2332
98,0.1261,0.0271,0.2429
99,0.1262,0.0297,0.2387
100,0.1259,0.0195,0.2346
