epoch,avg_loss,min_loss,max_loss
1,0.5357,0.0353,12.5798
2,0.3711,0.0682,3.7868
3,0.3984,0.0473,3.7783
4,0.3832,0.0658,5.032
5,0.3949,0.0755,5.886
6,0.4543,0.0433,3.9567
7,0.5625,0.0734,5.7915
8,0.4282,0.0779,5.2759
9,0.4337,0.0713,4.5615
10,0.4653,0.1163,4.2583
11,0.4502,0.1282,5.7102
12,0.4469,0.121,3.5617
13,0.411,0.1306,3.9916
14,0.4801,0.1318,3.4561
15,0.4049,0.1523,4.2401
16,0.3666,0.1461,3.6017
17,0.3548,0.1155,2.3505
18,0.3511,0.1132,3.3363
19,0.3512,0.1081,3.2395
20,0.3612,0.1237,4.8551
21,0.3547,0.1238,4.2764
22,0.3484,0.1211,2.5612
23,0.3558,0.1162,3.8572
24,0.3505,0.1205,4.1691
25,0.3541,0.1154,3.9466
26,0.3434,0.1108,3.7931
27,0.3419,0.1076,4.5525
28,0.3245,0.0991,3.921
29,0.3093,0.0994,5.0105
30,0.2865,0.0806,2.159
31,0.1327,0.018,3.1612
32,0.0953,0.0183,1.1641
33,0.0889,0.0264,1.7493
34,0.0941,0.0264,1.5304
35,0.0937,0.0411,1.0688
36,0.0912,0.0348,1.4882
37,0.0836,0.0316,1.9105
38,0.0833,0.0311,0.9448
39,0.1076,0.0474,0.884
40,0.0978,0.0422,0.9285
41,0.0912,0.0371,1.4256
42,0.087,0.0309,1.7024
43,0.0867,0.025,1.8601
44,0.0788,0.0206,0.8994
45,0.1002,0.0271,0.8357
46,0.2824,0.0421,0.8832
47,0.4202,0.1941,2.1781
48,0.3938,0.2137,1.1239
49,0.3065,0.127,1.8446
50,0.1932,0.1218,0.6634
