epoch,avg_loss,min_loss,max_loss
1,2.6557,0.0212,12.1502
2,2.4683,0.0233,11.4256
3,2.3249,0.0263,11.145
4,2.121,0.0237,10.1964
5,1.8541,0.021,9.318
6,1.3202,0.0233,10.4953
7,1.2406,0.0283,7.9873
8,1.2146,0.0189,9.1894
9,1.2474,0.0227,7.6815
10,1.0451,0.0281,7.4879
11,1.0222,0.0457,8.0113
12,0.9608,0.0356,7.1558
13,0.9699,0.0294,7.88
14,0.964,0.0448,6.6713
15,0.914,0.0428,7.7944
16,0.9452,0.0371,7.9566
17,0.8623,0.0514,7.3523
18,0.8307,0.0383,5.9401
19,0.8503,0.0535,5.4379
20,0.857,0.0458,7.4184
21,0.856,0.0423,6.5307
22,0.8164,0.0591,9.1548
23,0.7243,0.0609,5.748
24,0.7612,0.0568,6.1307
25,0.7361,0.0544,8.2193
26,0.7065,0.0628,5.1295
27,0.6909,0.0582,6.0166
28,0.6968,0.0555,5.7322
29,0.6915,0.062,4.5248
30,0.7051,0.0828,6.5167
31,0.7111,0.0744,7.3362
32,0.7266,0.0735,6.646
33,0.7446,0.0845,6.1064
34,0.7197,0.0586,5.4612
35,0.6994,0.068,6.8067
36,0.6957,0.0509,5.8105
37,0.698,0.0811,5.1708
38,0.6601,0.0818,5.7392
39,0.675,0.0754,8.1085
40,0.6751,0.0669,6.2556
41,0.6919,0.0896,5.651
42,0.642,0.0793,5.7477
43,0.6345,0.0921,9.9988
44,0.6667,0.0805,5.2382
45,0.6476,0.0797,4.9869
46,0.6504,0.0895,6.0606
47,0.5929,0.0584,5.321
48,0.6417,0.1083,5.7692
49,0.6228,0.081,6.6108
50,0.6112,0.086,4.5125
