epoch,avg_loss,min_loss,max_loss
1,2.3313,0.0129,14.5678
2,2.1149,0.0137,14.4607
3,1.8833,0.0149,13.0219
4,1.6956,0.0167,11.7005
5,1.6433,0.0172,11.3535
6,1.5018,0.0168,11.9749
7,1.3666,0.018,11.0825
8,1.3536,0.0185,12.4343
9,1.2958,0.0208,11.5364
10,1.3346,0.0266,10.2763
11,1.2172,0.0266,12.6656
12,1.1523,0.0305,11.691
13,1.1765,0.0217,11.4229
14,1.0763,0.036,10.1573
15,1.0518,0.0306,9.977
16,0.9943,0.0384,9.3299
17,0.9489,0.0344,9.753
18,0.8876,0.035,9.3749
19,0.874,0.0491,10.1638
20,0.8772,0.0463,8.1814
21,0.8832,0.0425,8.51
22,0.8896,0.0535,9.4443
23,0.8828,0.0547,10.3832
24,0.8202,0.075,9.8647
25,0.8662,0.0721,8.8358
26,0.8648,0.0605,10.1379
27,0.8849,0.0762,10.1274
28,0.8551,0.0759,9.8136
29,0.8336,0.0619,8.0285
30,0.8478,0.0817,9.7086
31,0.8328,0.0883,8.6305
32,0.7821,0.1,7.6834
33,0.7854,0.1,8.5484
34,0.8028,0.0812,6.7674
35,0.7557,0.1215,8.475
36,0.7454,0.1079,7.6551
37,0.7639,0.1074,7.3063
38,0.7548,0.1032,8.2476
39,0.7787,0.114,9.0729
40,0.7935,0.117,7.7743
41,0.7104,0.0926,7.0704
42,0.7356,0.0876,7.8023
43,0.7739,0.1122,8.206
44,0.7098,0.1013,8.4577
45,0.7542,0.1091,8.2112
46,0.7292,0.1127,8.2027
47,0.733,0.1209,7.6575
48,0.73,0.149,6.8463
49,0.7311,0.1445,8.5949
50,0.7378,0.1464,8.142
